Store Name,Store Type,Street Number,Street Name,City,State,Zip Code,County,Latitude,Longitude
RAMROOP WEST INDIAN MARKET  ,Unknown,839,Good Homes Rd,Orlando,FL,32818,ORANGE,28.55306,-81.50484
Ray's Deli & More  ,Convenience Store,6101,S Orange Ave,Orlando,FL,32809,ORANGE,28.47079,-81.36865
RAY'S FISH MARKET & PRODUCE  ,Seafood Specialty,2122,W Colonial Dr,Orlando,FL,32804,ORANGE,28.5527,-81.40773
"Reach-love In Action International, Inc.  ",Convenience Store,562,W. Silver Star Extended,Ocoee,FL,34761,ORANGE,28.57306,-81.55228
READY MARKET  004,Convenience Store,14991,W Colonial Dr,Winter Garden,FL,34787,ORANGE,0.0,0.0
READY MARKET  015,Convenience Store,100,Fairway Woods Blvd,Orlando,FL,32824,ORANGE,0.0,0.0
READY MARKET #2  ,Convenience Store,434,Main St,Windermere,FL,34786,ORANGE,0.0,0.0
Rebel 803,Convenience Store,2655,S Kirkman Rd,Orlando,FL,32811,ORANGE,28.51482,-81.45897
Rebel 861,Convenience Store,7900,World Center Dr,Orlando,FL,32821,ORANGE,28.35808,-81.48748
Rebel 853,Convenience Store,5981,Turkey Lake Rd,Orlando,FL,32819,ORANGE,28.47515,-81.47478
Rebel 864,Convenience Store,3202,Daniels Rd,Winter Garden,FL,34787,ORANGE,28.52228,-81.58765
Rebel 851,Convenience Store,5511,Clarcona Ocoee Rd,Orlando,FL,32810,ORANGE,28.61133,-81.4525
Rebel 815,Convenience Store,2710,S MAGUIRE RD,OCOEE,FL,34761,ORANGE,28.53047,-81.54169
Rebel 867,Convenience Store,13191,Reams Rd,Windermere,FL,34786,ORANGE,28.4307,-81.57646
Red Barn Food Market  ,Convenience Store,95,Center St,Winter Garden,FL,34787,ORANGE,28.56671,-81.57373
Red Sea Store  ,Convenience Store,18,S Orange Blossom Trl,Orlando,FL,32805,ORANGE,28.54122,-81.3973
Red Sea Store  ,Convenience Store,18,S Orange Blossom Trl,Orlando,FL,32805,ORANGE,28.5413,-81.3973
Red Sea Store  ,Convenience Store,18,S Orange Blossom Trl,Orlando,FL,32805,ORANGE,28.54131,-81.3973
REDDI MARKET #401  ,Convenience Store,10,E Silver Star Rd,Ocoee,FL,34761,ORANGE,0.0,0.0
REE'S GROCERY  ,Convenience Store,1420,Bruton Blvd,Orlando,FL,32805,ORANGE,0.0,0.0
Right Fuel  ,Convenience Store,3518,Curry Ford Rd,Orlando,FL,32806,ORANGE,28.52419,-81.33966
RIGHT FUEL & FOOD  ,Convenience Store,104,HWY 27 S,MINNEOLLA,FL,34755,ORANGE,28.57882,-81.75024
Right Fuel & Food  ,Convenience Store,1397,N Lakewood Ave,Ocoee,FL,34761,ORANGE,28.5876,-81.5425
Right Fuel & Food  ,Convenience Store,1397,N Lakewood Ave,Ocoee,FL,34761,ORANGE,28.58753,-81.54254
Right Fuel Food Store  ,Convenience Store,2804,S Rio Grande Ave,Orlando,FL,32805,ORANGE,28.51306,-81.40122
RIGHT SPOT  ,Convenience Store,2401,Curry Ford Rd,Orlando,FL,32806,ORANGE,28.52415,-81.35147
RIGHT WAY FOOD  ,Convenience Store,2660,S Rio Grande Ave,Orlando,FL,32805,ORANGE,28.5146,-81.40122
Right Way Food 13,Convenience Store,6700,N Orange Blossom Trl,Orlando,FL,32810,ORANGE,28.61774,-81.43979
Right Way Food Mart  ,Convenience Store,2099,S Goldenrod Rd,Orlando,FL,32822,ORANGE,28.51985,-81.28811
RIGHT WAY FOOD STORE  ,Convenience Store,2099,S Goldenrod Rd,Orlando,FL,32822,ORANGE,0.0,0.0
RIGHT WAY FOOD STORE CITGO  ,Convenience Store,7900,Daetwyler Dr,Orlando,FL,32812,ORANGE,28.45485,-81.33891
RIGHT WAY FOODS  ,Convenience Store,331,W Silver Star Rd,Ocoee,FL,34761,ORANGE,28.57365,-81.55026
Right Wayfoods  ,Convenience Store,6700,N Orange Blossom Trl,Orlando,FL,32810,ORANGE,28.6174,-81.44001
RIGHTWAY  ,Convenience Store,2660,S Rio Grande Ave,Orlando,FL,32805,ORANGE,0.0,0.0
RIGHTWAY CITGO  ,Convenience Store,13755,E Colonial Dr,Orlando,FL,32826,ORANGE,28.56544,-81.18195
Rightway Food  ,Convenience Store,167,W Plant St,Winter Garden,FL,34787,ORANGE,28.56551,-81.58752
Rightway Food  ,Convenience Store,4135,W Colonial Dr,Orlando,FL,32808,ORANGE,28.55279,-81.43003
Rightway Food  ,Convenience Store,167,W Plant St,Winter Garden,FL,34787,ORANGE,28.56551,-81.58752
Rightway Food  ,Convenience Store,1713,Conway Rd,Orlando,FL,32812,ORANGE,28.52274,-81.33092
Rightway Food 49  ,Convenience Store,4135,W Colonial Dr,Orlando,FL,32808,ORANGE,28.55279,-81.43003
RIGHTWAY FOOD II  ,Convenience Store,5500,Clarcona Ocoee Rd,Orlando,FL,32810,ORANGE,0.0,0.0
RIGHTWAY FOOD III  ,Convenience Store,1713,S Conway Rd,Orlando,FL,32812,ORANGE,0.0,0.0
RIGHTWAY FOOD STORE 3,Convenience Store,1713,S Conway Rd,Orlando,FL,32812,ORANGE,28.52275,-81.33092
Rightway Food Store  ,Convenience Store,3702,S Conway Rd,Orlando,FL,32812,ORANGE,28.49915,-81.33098
Rightway Food Store  ,Convenience Store,2660,S Rio Grande Ave,Orlando,FL,32805,ORANGE,28.5146,-81.40122
Rightway Food Store  ,Convenience Store,2660,S Rio Grande Ave,Orlando,FL,32805,ORANGE,28.51456,-81.40124
RIGHTWAY FOODS  ,Convenience Store,3780,Ocoee Apopka Rd,Apopka,FL,32703,ORANGE,28.62171,-81.54444
Rightway Foods 2,Convenience Store,5500,Clarcona Ocoee Rd,Orlando,FL,32810,ORANGE,28.61127,-81.4523
Rightway Foods  ,Convenience Store,7301,S Orange Blossom Trl,Orlando,FL,32809,ORANGE,28.46012,-81.39803
Rightway Foods  ,Convenience Store,5852,S Orange Ave,Orlando,FL,32809,ORANGE,28.47309,-81.36934
Rightway Foods  ,Convenience Store,5852,S Orange Ave,Orlando,FL,32809,ORANGE,28.47309,-81.36934
Rightway Foods  ,Convenience Store,167,W Plant St,Winter Garden,FL,34787,ORANGE,28.56551,-81.58752
Rightway Foods 2,Convenience Store,5500,Clarcona Ocoee Rd,Orlando,FL,32810,ORANGE,28.61127,-81.4523
Rightway Foods  ,Convenience Store,7301,S Orange Blossom Trl,Orlando,FL,32809,ORANGE,28.46012,-81.39803
Rio Chevron  ,Convenience Store,4699,South Rio Grande Avenue,Orlando,FL,32839,ORANGE,28.49457,-81.40094
Rio Chevron  ,Convenience Store,4699,South Rio Grande Ave,Orlando,FL,32839,ORANGE,28.49457,-81.40094
Rio Chevron  ,Convenience Store,4699,South Rio Grande Av,Orlando,FL,32839,ORANGE,28.49457,-81.40094
Rio Chevron  ,Convenience Store,4699,South Rio Grande Av,Orlando,FL,32839,ORANGE,28.49457,-81.40094
Rio Chevron  ,Convenience Store,4699,S Rio Grande Ave,Orlando,FL,32839,ORANGE,28.49505,-81.40054
RIO GRANDE FUEL  ,Convenience Store,2900,S Rio Grande Ave,Orlando,FL,32805,ORANGE,28.51233,-81.40121
Rio Grande Grocery Store & Wic Inc.  ,Convenience Store,2427,S Rio Grande Ave,Orlando,FL,32805,ORANGE,28.51652,-81.40118
Rio Grande Meat & Produce  ,Medium Grocery Store,2427,S Rio Grande Ave,Orlando,FL,32805,ORANGE,28.51652,-81.40118
RIO GRANDE MINI MART  ,Convenience Store,2900,S RIO GRANDE AVENUE,ORLANDO,FL,32805,ORANGE,28.51233,-81.40121
RIO GRANDE MINI MART INC  ,Convenience Store,2900,S RIO GRANDE AVENUE,ORLANDO,FL,32805,ORANGE,28.51233,-81.40121
Riogrande Grocery & Caribbean Market  ,Convenience Store,2901,S Rio Grande Ave,Orlando,FL,32805,ORANGE,28.51235,-81.40115
RITE AID  2268,Combination Grocery/Other,21,W Silver Star Rd,Ocoee,FL,34761,ORANGE,0.0,0.0
RITE AID DISC DRUG STORE  2042,Combination Grocery/Other,7444,University Blvd,Winter Park,FL,32792,ORANGE,0.0,0.0
RITE AID DISC. DRUG STORE  2087,Combination Grocery/Other,701,S Semoran Blvd,Orlando,FL,32807,ORANGE,0.0,0.0
RITE AID DISC. DRUG STORE  2025,Combination Grocery/Other,2716,N Pine Hills Rd,Orlando,FL,32808,ORANGE,0.0,0.0
RITE AID PHARMACY  2033,Combination Grocery/Other,827,Semoran Blvd,Apopka,FL,32703,ORANGE,0.0,0.0
Rn Petro Dba Sunrise Food Mart 154  ,Convenience Store,2800,N Pine Hills Rd,Orlando,FL,32808,ORANGE,28.58015,-81.45158
Robinson Grocery Store 1,Medium Grocery Store,716,W Robinson St,Orlando,FL,32805,ORANGE,28.54568,-81.39008
Rose's 547,Combination Grocery/Other,2724,N Hiawassee Rd,Orlando,FL,32818,ORANGE,28.57979,-81.47614
Rose's 548,Combination Grocery/Other,2103,Americana Blvd,Orlando,FL,32839,ORANGE,28.48643,-81.40691
RRR Ashley's Inc  ,Combination Grocery/Other,2344,W Oak Ridge Rd,Orlando,FL,32809,ORANGE,28.47239,-81.40994
RRR Ashley's WIC-Only Foodstore n/a,Supermarket,2344,W Oak Ridge Rd,Orlando,FL,32809,ORANGE,28.47236,-81.40997
Ruta Supermerket Inc.  ,Convenience Store,3930,Columbia St,Orlando,FL,32805,ORANGE,28.52696,-81.42481
Ruta Supermerket Inc.  ,Convenience Store,3930,Columbia St,Orlando,FL,32805,ORANGE,28.52696,-81.42481
"Ryan Jesus Gas Station, Inc.  ",Convenience Store,601,W Oak Ridge Rd,Orlando,FL,32809,ORANGE,28.47274,-81.38471
"RYKOFF-SEXTON,INC.  ",Wholesaler,2412,SAND LAKE RD,0RLANDO,FL,32809,ORANGE,0.0,0.0
S & A  ,Convenience Store,2012,S Orange Blossom Trl,Orlando,FL,32805,ORANGE,28.52049,-81.39709
"S & D VENTURES, INC.  ",Unknown,5022,S Orange Blossom Trl,Orlando,FL,32839,ORANGE,0.0,0.0
S & G PRODUCE & MEAT  ,Delivery Route,P.O. BOX,5853,ORLANDO,FL,32805,ORANGE,0.0,0.0
S & M FISH & GROCERIES  ,Seafood Specialty,2797,N Hiawassee Rd,Orlando,FL,32818,ORANGE,28.58034,-81.47593
S & N Food Mart  ,Convenience Store,6999,W Colonial Dr,Orlando,FL,32818,ORANGE,28.55221,-81.47543
S & N Food Mart  ,Convenience Store,6999,W Colonial Dr,Orlando,FL,32818,ORANGE,28.55221,-81.47543
S & V DISCOUNT BEVERAGE  ,Convenience Store,24636,E Highway 50,Christmas,FL,32709,ORANGE,0.0,0.0
S & W Food Store  ,Convenience Store,446,S Parramore Ave,Orlando,FL,32805,ORANGE,28.53673,-81.389
S&S Veerani LLC  ,Convenience Store,2801,N Hiawassee Rd,Orlando,FL,32818,ORANGE,28.58105,-81.47596
Sabiha Petroleum LLC  ,Convenience Store,9495,S Orange Blossom Trl,Orlando,FL,32837,ORANGE,28.42198,-81.40469
SACKS  ,Supermarket,731,S DILLARD ST,WINTER GARDEN,FL,34787,ORANGE,0.0,0.0
SACKS  ,Supermarket,6013,Edgewater Dr,Orlando,FL,32810,ORANGE,0.0,0.0
"SACKS GROCERY OUTLETS, INC.  ",Large Grocery Store,6013,Edgewater Dr,Orlando,FL,32810,ORANGE,28.61132,-81.41647
Sadler Mobil  ,Convenience Store,4498,N Orange Blossom Trl,Mount Dora,FL,32757,ORANGE,28.74871,-81.62003
Sadler Mobil  ,Convenience Store,4498,N Orange Blossom Trl,Mount Dora,FL,32757,ORANGE,28.74871,-81.62003
SAHARA DISCOUNT INC  ,Small Grocery Store,12140,Collegiate Way Ste 170,Orlando,FL,32817,ORANGE,0.0,0.0
Saigon Market  ,Combination Grocery/Other,1232,E Colonial Dr,Orlando,FL,32803,ORANGE,28.55309,-81.3632
SALAMA'S TEXACO  ,Convenience Store,827,W LANCASTER RD,ORLANDO,FL,32809,ORANGE,0.0,0.0
SALEM INTERNATIONAL MARKET & DELI  ,Small Grocery Store,3090,ALOMA AVE,WINTER PARK,FL,32792,ORANGE,0.0,0.0
SALEM INTERNATIONAL MARKET & DELI  ,Small Grocery Store,3090,ALOMA AVE,WINTER PARK,FL,32792,ORANGE,0.0,0.0
Sam Service Station Inc  ,Convenience Store,1208,Bruton Blvd,Orlando,FL,32805,ORANGE,28.52625,-81.42613
Sam Service Station Inc  ,Convenience Store,1208,Bruton Blvd,Orlando,FL,32805,ORANGE,28.52625,-81.42613
Sam's  ,Small Grocery Store,908,S Ivey Ln,Orlando,FL,32811,ORANGE,28.53025,-81.43443
Sam's Club 6212,Super Store,7701,E Colonial Dr,Orlando,FL,32807,ORANGE,28.56845,-81.28326
Sam's Club 6218,Super Store,7810,W Colonial Dr,Orlando,FL,32818,ORANGE,28.55196,-81.48979
Sam's Club 8290,Super Store,9498,S Orange Blossom Trl,Orlando,FL,32837,ORANGE,28.42213,-81.40475
Sam's Club 6189,Super Store,1500,S Orange Blossom Trl,Apopka,FL,32703,ORANGE,28.65368,-81.46957
Sam's Club 4828,Super Store,11920,Narcoossee Rd,Orlando,FL,32832,ORANGE,28.39318,-81.24445
SAM'S DISC FD STORE  ,Convenience Store,2662,Apopka Blvd,Apopka,FL,32703,ORANGE,0.0,0.0
Sam's Discount Food Store  ,Convenience Store,2662,Apopka Blvd,Apopka,FL,32703,ORANGE,28.63804,-81.45797
SAM'S MARKET  ,Unknown,348,E Story Rd,Winter Garden,FL,34787,ORANGE,0.0,0.0
SAM'S MARKET  ,Convenience Store,348,E Story Rd,Winter Garden,FL,34787,ORANGE,0.0,0.0
SAM'S MARKET OF WINTER GARDEN INC  ,Convenience Store,348,E Story Rd,Winter Garden,FL,34787,ORANGE,0.0,0.0
"Sam's Supermarket, Inc.  ",Convenience Store,3930,Columbia St,Orlando,FL,32805,ORANGE,28.52696,-81.42473
Sand Lake Mobil  ,Convenience Store,4933,W Sand Lake Rd,Orlando,FL,32819,ORANGE,28.45072,-81.44579
Sand Lake Store Inc  ,Convenience Store,8004,Mandarin Dr,Orlando,FL,32819,ORANGE,28.45088,-81.44619
Sand Martin Petroleum Inc.  ,Convenience Store,9495,S Orange Blossom Trl,Orlando,FL,32837,ORANGE,28.42198,-81.40469
Sandlake Chevron 442,Convenience Store,4935,W Sand Lake Rd,Orlando,FL,32819,ORANGE,28.45012,-81.44569
"SANTIAGO ENT, INC.  ",Convenience Store,629,Delhi St,Orlando,FL,32808,ORANGE,0.0,0.0
SAVE 'N PACK  1896,Supermarket,4065,W Oak Ridge Rd,Orlando,FL,32809,ORANGE,0.0,0.0
SAVE 'N PACK  1903,Supermarket,10681,E Colonial Dr,Orlando,FL,32817,ORANGE,0.0,0.0
SAVE 'N PACK  1905,Supermarket,4622,S Orange Blossom Trl,Orlando,FL,32839,ORANGE,0.0,0.0
Save A Lot 61227,Supermarket,4624,S Orange Blossom Trl,Orlando,FL,32839,ORANGE,28.4966,-81.39934
Save A Lot 61226,Supermarket,6135,Silver Star Rd,Orlando,FL,32808,ORANGE,28.5788,-81.46674
Save A Lot 61233,Supermarket,823,E Semoran Blvd,Apopka,FL,32703,ORANGE,28.67446,-81.49368
Save A Lot 61228,Supermarket,13375,W Colonial Dr,Winter Garden,FL,34787,ORANGE,28.55216,-81.58011
Save A Lot 61228,Supermarket,13375,W Colonial Dr,Winter Garden,FL,34787,ORANGE,28.55216,-81.58011
SAVE DISCOUNT  ,Convenience Store,2793,N Hiawassee Rd,Orlando,FL,32818,ORANGE,28.58068,-81.47596
SAVE MART INC  ,Convenience Store,700,S 441 OBT,APOPKA,FL,32703,ORANGE,0.0,0.0
SAVE N HANDY INC  ,Convenience Store,1905,E Michigan St,Orlando,FL,32806,ORANGE,0.0,0.0
SAVE-A-LOT 157,Supermarket,5639,S Orange Ave,Orlando,FL,32809,ORANGE,28.47562,-81.37029
SAVE-A-LOT 187,Supermarket,1015,S Dillard St,Winter Garden,FL,34787,ORANGE,28.55244,-81.58347
SAVE-A-LOT  190,Supermarket,4704,S Orange Blossom Trl,Orlando,FL,32839,ORANGE,0.0,0.0
SAVE-A-LOT 190,Supermarket,4704,S Orange Blossom Trl,Orlando,FL,32839,ORANGE,28.49396,-81.39691
SAVE-A-LOT 195,Supermarket,902,Lee Rd,Orlando,FL,32810,ORANGE,28.60676,-81.39354
SAVE-A-LOT 61226,Supermarket,6135,Silver Star Rd,Orlando,FL,32808,ORANGE,28.57787,-81.46617
SAVE-A-LOT 61233,Supermarket,832,E Semoran Blvd,Apopka,FL,32703,ORANGE,28.67286,-81.49397
SAVE-A-LOT 61227,Supermarket,4622,S Orange Blossom Trl,Orlando,FL,32839,ORANGE,28.49619,-81.39693
SAVE-A-LOT 124,Supermarket,4075,S Goldenrod Rd Ste B,Orlando,FL,32822,ORANGE,28.48923,-81.28526
SAVE-A-LOT 61228,Supermarket,13375,W Colonial Dr,Winter Garden,FL,34787,ORANGE,28.55112,-81.581
Save-A-Lot 61337,Supermarket,6341,W Colonial Dr,Orlando,FL,32818,ORANGE,28.55228,-81.46878
Save-A-Lot 61338,Supermarket,702,S Goldenrod Rd,Orlando,FL,32822,ORANGE,28.53595,-81.28587
Save-A-Lot 61246,Supermarket,5800,N Orange Blossom Trl,Orlando,FL,32810,ORANGE,28.61077,-81.42924
SAVE-A-LOT 61339,Supermarket,2200,Bruton Blvd,Orlando,FL,32805,ORANGE,28.51764,-81.42614
SAVE-A-LOT 61339,Supermarket,2200,Bruton Blvd,Orlando,FL,32805,ORANGE,28.51764,-81.42614
"Save-more Party Store, Inc  ",Convenience Store,4901,E Colonial Dr,Orlando,FL,32803,ORANGE,28.55349,-81.32381
SAVE-RITE GROCERY 2654,Supermarket,10537,E Colonial Dr,Orlando,FL,32817,ORANGE,28.56987,-81.2328
SAVE-RITE GROCERY 2650,Supermarket,7149,W Colonial Dr,Orlando,FL,32818,ORANGE,28.55212,-81.47864
SAVE-RITE GROCERY 2652,Supermarket,4520,S Semoran Blvd,Orlando,FL,32822,ORANGE,28.49737,-81.31037
SAVE-RITE GROCERY 2650,Supermarket,7149,W Colonial Dr,Orlando,FL,32818,ORANGE,28.55212,-81.47864
SEA WIND FISH MARKET  ,Seafood Specialty,607,N Pine Hills Rd,Orlando,FL,32808,ORANGE,28.54905,-81.44737
"Seabra Foods VII, Inc.  ",Supermarket,5571,International Dr,Orlando,FL,32819,ORANGE,28.4625,-81.4558
"Seabra Foods XIV, Inc  ",Super Store,4169,W Town Center Blvd,Orlando,FL,32837,ORANGE,28.363,-81.42764
Seabra Foods XV INC  ,Super Store,9489,W Colonial Dr,Ocoee,FL,34761,ORANGE,28.55318,-81.51697
Seacoast BP 839,Convenience Store,277,E Main St,Apopka,FL,32703,ORANGE,28.67359,-81.5058
Seacoast Bp 2658265,Convenience Store,277,E Main St,Apopka,FL,32703,ORANGE,28.67359,-81.5058
Seasons Produce  ,Small Grocery Store,7575,University Blvd,Winter Park,FL,32792,ORANGE,28.59755,-81.28498
Sedano's 40,Supermarket,12981,S Orange Blossom Trl,Orlando,FL,32837,ORANGE,28.37698,-81.40437
Sedano's 41,Supermarket,5660,Curry Ford Rd,Orlando,FL,32822,ORANGE,28.52387,-81.31153
SEIN PRODUCE  ,Fruits/Veg Specialty,2042,N FORSYTH RD,ORLANDO,FL,32807,ORANGE,0.0,0.0
Semoran Citgo  ,Convenience Store,537,N Semoran Blvd,Orlando,FL,32807,ORANGE,28.5501,-81.31059
Semoran Citgo Lavanezolana  ,Convenience Store,537,N Semoran Blvd,Orlando,FL,32807,ORANGE,28.5501,-81.31059
Semoran Food Mart  ,Convenience Store,4701,S Semoran Blvd,Orlando,FL,32822,ORANGE,28.49487,-81.31009
Semoran Food Mart  ,Convenience Store,1,N Semoran Blvd,Orlando,FL,32807,ORANGE,28.54607,-81.31056
SEMORAN GROCERY SHOP  ,Convenience Store,629,N Semoran Blvd,Orlando,FL,32807,ORANGE,0.0,0.0
Seoul General Market  ,Meat/Poultry Specialty,1420,E Semoran Blvd,Apopka,FL,32703,ORANGE,28.67284,-81.4841
Serena Enterprises Llc  ,Convenience Store,9456,2nd Ave,Orlando,FL,32824,ORANGE,28.42897,-81.36746
Serena Enterprises Llc  ,Convenience Store,9456,2nd Ave,Orlando,FL,32824,ORANGE,28.42897,-81.36746
